Index,Fuel Type Code,Street Address,State,Latitude,Longitude
11225,ELEC,200 Main St,ME,43.799685,-70.18859
11226,ELEC,190 Hardin St,NC,36.214982,-81.675345
11227,ELEC,19721 Beall St,MD,39.145806,-77.412039
11228,ELEC,19961 Fisher Ave,MD,39.146667,-77.417222
11229,ELEC,360 Hamilton St,NJ,40.611513,-74.280063
11230,ELEC,67 Lewis St,NJ,40.606383,-74.274701
11231,ELEC,13 Church St,ME,44.223939,-70.514496
11232,ELEC,100 E Congress St,MI,42.330459,-83.044429
11233,ELEC,720 Commerce Dr,GA,33.778262,-84.292625
11234,ELEC,1750 Tysons Blvd,VA,38.923857,-77.223433
11235,ELEC,389 N Main St,OR,45.356558,-119.553373
11236,ELEC,15036 Conference Center Dr,VA,38.879758,-77.462307
11237,ELEC,2010 S 2760 W,UT,40.727608,-111.960017
11238,E85,3999 Rice St,MN,45.062681,-93.106823
11239,ELEC,224 S River Rd,NH,42.942232,-71.472906
11240,ELEC,375 6th St,NH,43.214826,-70.907452
11241,ELEC,1010 E Prosperity Ave,CA,36.225598,-119.333601
11242,ELEC,1401 Carmelo Dr,CA,33.207383,-117.387849
11244,ELEC,112 Main St,VT,45.004475,-72.100943
11245,ELEC,3105 Lincoln Hwy E,PA,40.010359,-76.130666
11246,ELEC,4371 Parliament Pl,MD,38.949449,-76.835461
11247,CNG,1501 W 175th St,IL,41.571315,-87.653619
11249,E85,565 E Renfroe Rd,AL,33.422272,-86.140207
11250,E85,344 Marine Forces Dr,TX,32.738824,-96.955431
11251,E85,3015 Catlin Ave,VA,38.513356,-77.306226
11252,ELEC,3601 S 6th Ave,AZ,32.181434,-110.968281
11253,ELEC,Bldg 2017,CA,32.701602,-117.184216
11254,ELEC,25600 S Chrisman Rd,CA,37.724623,-121.398169
11255,ELEC,35 Russell Ave,HI,21.34891,-157.953392
11256,ELEC,South Ave,HI,21.3470972,-157.9492611
11257,ELEC,1900 E Main St,IL,40.131991,-87.59227
11258,ELEC,3001 Greenbay Rd N,IL,42.308183,-87.862407
11259,ELEC,Camp David,MD,39.647535,-77.465905
11260,ELEC,210 Princeton Blvd,NY,40.924144,-72.816045
